3376,-17.10158821,29.30134851,1066,3,108,Dry subhumid,Zimbabwe
8513,-20.69826295,27.32083281,1161,1,133,Semiarid,Botswana
12379,-23.06496439,22.75855897,1110,2,270,Semiarid,Botswana
5347,-18.45310356,15.28816907,1101,2,0,Semiarid,Namibia
5835,-18.77784453,17.73976131,1159,6,300,Dry subhumid,Namibia
8511,-20.69853244,27.087181,1123,1,90,Semiarid,Botswana
7207,-19.73967071,27.55367613,1070,1,0,Semiarid,Zimbabwe
18737,-24.77005663,14.9184225,318,10,236,Hyperarid,Namibia
8712,-20.73383623,44.27527615,82,2,245,Semiarid,Madagascar
19987,-26.62229292,20.79205699,897,6,270,Arid,Botswana
1005,-15.07768388,40.60880232,8,4,314,Semiarid,Mozambique
19942,-26.48134725,19.76663009,975,3,0,Arid,Namibia
8777,-20.91143316,22.17618118,1035,2,0,Semiarid,Botswana
12557,-23.17276223,22.05598659,1179,0,0,Semiarid,Botswana
14128,-24.26313732,23.92843497,1106,3,340,Dry subhumid,Botswana
1814,-16.16078261,29.41615321,803,21,319,Dry subhumid,Zimbabwe
2279,-16.47743875,24.98242829,1114,4,257,Dry subhumid,Zambia
20032,-26.76296909,21.67114832,938,3,253,Arid,Botswana
12962,-23.38997486,27.90913949,874,8,331,Semiarid,South Africa
20120,-27.17340934,17.85941691,710,3,323,Arid,Namibia
10313,-21.87649327,21.9409124,1094,2,152,Semiarid,Botswana
3932,-17.50798605,15.7595151,1108,4,15,Semiarid,Namibia
12089,-22.83724147,32.82418173,97,3,160,Dry subhumid,Mozambique
17142,-30.77116206,23.92520103,1356,23,311,Semiarid,South Africa
14578,-24.70133551,25.68527017,1131,1,228,Dry subhumid,Botswana
9327,-21.22835879,30.47930935,570,3,227,Semiarid,Zimbabwe
907,-14.91059723,30.57956133,628,16,74,Dry subhumid,Mozambique
9302,-21.2329402,27.55556259,968,2,270,Semiarid,Botswana
575,-12.53500246,49.09249186,655,5,38,Dry subhumid,Madagascar
15688,-26.57890429,23.6928967,1151,1,0,Semiarid,South Africa
5445,-18.4706207,26.73441259,905,5,212,Semiarid,Zimbabwe
7201,-19.74047919,26.85245122,975,1,90,Semiarid,Zimbabwe
11213,-22.40928407,18.7805494,1474,2,180,Semiarid,Namibia
13676,-23.80903894,34.46675123,88,3,312,Dry subhumid,Mozambique
6427,-19.2022985,18.3226781,1239,1,227,Semiarid,Namibia
1213,-15.53043478,31.98093318,449,3,226,Semiarid,Mozambique
1233,-15.49863442,39.67877651,171,2,153,Dry subhumid,Mozambique
20989,-30.73154635,22.10584309,1103,2,270,Arid,South Africa
5348,-18.45364254,15.40486023,1104,7,47,Semiarid,Namibia
9315,-21.23078425,29.07578155,950,10,259,Semiarid,Zimbabwe
12531,-23.16548587,18.31028135,1369,4,133,Semiarid,Namibia
17172,-30.88677523,23.92520103,1310,3,49,Semiarid,South Africa
11240,-22.41521295,21.94010392,1058,1,313,Semiarid,Botswana
10272,-21.86625248,17.14444777,1454,1,270,Semiarid,Namibia
10406,-21.86625248,32.8206783,162,2,270,Dry subhumid,Mozambique
7917,-20.27165302,27.55421512,1210,2,332,Semiarid,Zimbabwe
15635,-26.46760303,23.57566656,1120,4,0,Semiarid,South Africa
19578,-25.1600153,45.25300251,140,2,114,Arid,Madagascar
19324,-24.55122703,20.35682323,1084,2,151,Arid,Botswana
19965,-26.61474707,17.56809326,1070,3,228,Arid,Namibia
20189,-27.45341422,17.85833893,833,4,16,Arid,Namibia
21088,-31.16543264,21.95842955,1297,1,49,Arid,South Africa
11510,-22.51654291,31.53572812,213,3,20,Semiarid,Mozambique
7277,-19.84127016,19.37235951,1227,1,227,Semiarid,Namibia
20643,-29.43177397,17.85214056,877,16,280,Arid,South Africa
14647,-24.80994183,22.63944237,1050,0,0,Semiarid,Botswana
6875,-19.5259615,21.24292143,1062,2,270,Semiarid,Botswana
5192,-18.34907865,15.63905102,1092,3,134,Semiarid,Namibia
9687,-21.4323662,34.10562849,108,1,180,Dry subhumid,Mozambique
6251,-19.0831819,14.35059741,1206,3,122,Semiarid,Namibia
1018,-15.22321095,29.88049238,693,10,90,Dry subhumid,Zambia
13600,-23.82682559,25.56804003,1135,1,228,Dry subhumid,Botswana
14202,-24.24319472,35.05424943,107,1,180,Dry subhumid,Mozambique
21032,-31.01262921,18.14103875,257,6,210,Arid,South Africa
